Project_ID,Start_Date,Location,Project_Type,Duration_Days,Complexity,Risk_Level,Area_sqm,Cost_Budgeted,Actual_Duration,Actual_Cost
P0001,2023-09-22,ENA,Minor Renovation,403,High,Medium,57,46600,515,58000
P0002,2023-11-12,KNA,Dry Lab,230,Medium,Medium,495,3135000,263,4182200
P0003,2024-03-27,KNA,Dry Lab,294,Medium,Medium,52,245700,379,321600
P0004,2023-05-03,ENG,Minor Renovation,367,Medium,High,214,312700,465,432900
P0005,2024-08-03,ENC,Minor Renovation,373,High,High,82,112100,449,146400
P0006,2021-03-20,ES,Major Renovation,135,Low,High,14,25100,170,31400
P0007,2022-10-02,AD,Major Renovation,159,Medium,Low,14,50100,162,65400
P0008,2021-07-06,ENF,Major Renovation,172,Medium,Medium,35,83900,218,105300
P0009,2021-02-14,ENF,Dry Lab,178,Medium,Medium,87,397100,243,542100
P0010,2022-07-10,KNA,Minor Renovation,306,High,Low,126,63100,363,76800
P0011,2024-12-21,ENG,Minor Renovation,186,Medium,Medium,62,40200,198,48900
P0012,2022-05-26,ENB,Wet Lab,270,High,High,73,766800,382,1099500
P0013,2021-11-03,ENA,Dry Lab,360,Medium,Critical,88,717400,501,927000
P0014,2021-02-01,SA,Minor Renovation,424,Medium,Medium,450,547400,535,703300
P0015,2020-07-11,KNA,Dry Lab,248,Medium,Medium,381,2497500,301,2717500
P0016,2023-10-23,AD,Minor Renovation,122,Medium,Medium,25,10500,152,11100
P0017,2023-07-17,ENC,Minor Renovation,200,High,Low,43,45500,274,57100
P0018,2024-03-11,HRIC,Major Renovation,234,Medium,Medium,156,287700,272,314500
P0019,2020-04-08,SA,Wet Lab,204,Medium,Low,486,3861700,227,5082900
P0020,2020-05-06,SB,Minor Renovation,321,Medium,Medium,100,119100,392,143300
P0021,2021-11-27,HRIC,Minor Renovation,220,High,Low,34,30400,280,39600
P0022,2024-12-29,ES,Minor Renovation,207,Medium,Medium,16,24000,263,31500
P0023,2021-11-29,SB,Dry Lab,146,Medium,Low,95,495500,148,511400
P0024,2022-04-02,ENA,Minor Renovation,428,Low,Critical,413,573700,518,772500
